sentence,relation_type
"(Indomethacin)_bf diuretics_bf used_bf concomitantly_bf ,_bf patient_bf observed_bf closely_bf determine_bf desired_bf effect_bf OTHER_DRUG obtained_be ._be",advise
"(Indomethacin)_bf DRUG used_be concomitantly_be ,_be patient_be observed_be closely_be determine_be desired_be effect_be OTHER_DRUG obtained_af ._af",advise
"(Indomethacin)_bf OTHER_DRUG used_be concomitantly_be ,_be patient_be observed_be closely_be determine_be desired_be effect_be diuretic_be obtained_be ._be",advise
(See_bf CLINICAL_bf PHARMACOLOGY)_bf Coadministration_bf DRUG OTHER_DRUG 20_af mg_af daily_af resulted_af reduction_af letrozole_af plasma_af levels_af 38%_af average_af ._af,advise
(See_bf CLINICAL_bf PHARMACOLOGY)_bf Coadministration_bf DRUG tamoxifen_be 20_be mg_be daily_be resulted_be reduction_be OTHER_DRUG plasma_af levels_af 38%_af average_af ._af,advise
(See_bf CLINICAL_bf PHARMACOLOGY)_bf Coadministration_bf Femara_bf DRUG 20_be mg_be daily_be resulted_be reduction_be OTHER_DRUG plasma_af levels_af 38%_af average_af ._af,advise
(Thiazide_bf drugs_bf may_bf increase_bf responsiveness_bf OTHER_DRUG ._be )_be,advise
(Thiazides_bf may_bf decrease_bf arterial_bf responsiveness_bf OTHER_DRUG ._be,advise
*_bf This_bf table_bf inclusive_bf **_bf DRUG may_be effective_be due_be decreased_be OTHER_DRUG plasma_af concentrations_af patients_af taking_af agents_af concomitantly_af,advise
",_bf dosage_bf DRUG adjusted_be OTHER_DRUG administered_af concomitantly_af ._af",advise
"[Dose-time_bf effects_bf competitive_bf displacement_bf DRUG sodium_be perchlorate_be following_be oral_be intravenous_be administration]_be The_be effect_be various_be doses_be sodium_be perchlorate_be several_be dose_be fractions_be extent_be time_be scale_be displacement_be DRUG ,_af dependence_af application_af mode_af ,_af studied_af ._af",advise
"[Dose-time_bf effects_bf competitive_bf displacement_bf DRUG sodium_be perchlorate_be following_be oral_be intravenous_be administration]_be The_be effect_be various_be doses_be sodium_be perchlorate_be several_be dose_be fractions_be extent_be time_be scale_be displacement_be DRUG ,_af dependence_af application_af mode_af ,_af studied_af ._af",advise
"[Dose-time_bf effects_bf competitive_bf displacement_bf DRUG sodium_be perchlorate_be following_be oral_be intravenous_be administration]_be The_be effect_be various_be doses_be sodium_be perchlorate_be several_be dose_be fractions_be extent_be time_be scale_be displacement_be DRUG ,_af dependence_af application_af mode_af ,_af studied_af ._af",advise
"[Dose-time_bf effects_bf competitive_bf displacement_bf OTHER_DRUG sodium_be perchlorate_be following_be oral_be intravenous_be administration]_be The_be effect_be various_be doses_be sodium_be perchlorate_be several_be dose_be fractions_be extent_be time_be scale_be displacement_be OTHER_DRUG ,_af dependence_af application_af mode_af ,_af studied_af ._af",advise
"[Dose-time_bf effects_bf competitive_bf displacement_bf OTHER_DRUG sodium_be perchlorate_be following_be oral_be intravenous_be administration]_be The_be effect_be various_be doses_be sodium_be perchlorate_be several_be dose_be fractions_be extent_be time_be scale_be displacement_be OTHER_DRUG ,_af dependence_af application_af mode_af ,_af studied_af ._af",advise
"[Dose-time_bf effects_bf competitive_bf displacement_bf radiopertechnetate_bf sodium_bf perchlorate_bf following_bf oral_bf intravenous_bf administration]_bf The_bf effect_bf various_bf doses_bf sodium_bf perchlorate_bf several_bf dose_bf fractions_bf extent_bf time_bf scale_bf displacement_bf radiopertechnetate_bf ,_bf dependence_bf application_bf mode_bf ,_bf studied_bf ._bf",advise
[Quantitative_bf approach_bf treatment_bf incisive_bf DRUG therapeutic_be monitoring];_be The_be problems_be encountered_be longterm_be treatment_be psychotic_be patients_be DRUG illustrated_af six_af typical_af case_af reports_af ._af,advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf pyreneperone_bf (0_bf ._bf 25_bf mg/kg)_bf resulted_bf reduced_bf interaction_bf 3H-spiroperidol_bf low_bf affinity_bf binding_bf sites_bf apomorphine_bf subcortical_bf structures_bf ,_bf whereas_bf 3H-spiroperidol_bf binding_bf high_bf affinity_bf binding_bf sites_bf apomorphine_bf increased_bf frontal_bf cortex_bf subcortical_bf structures_bf forebrain_bf ._bf",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf OTHER_DRUG (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be apomorphine_be subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be apomorphine_be increased_be frontal_be cortex_be subcortical_be structures_be forebrain_be ._be",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf OTHER_DRUG (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be apomorphine_be subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be apomorphine_be increased_be frontal_be cortex_be subcortical_be structures_be forebrain_be ._be",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf pyreneperone_bf (0_bf ._bf 25_bf mg/kg)_bf resulted_bf reduced_bf interaction_bf 3H-spiroperidol_bf low_bf affinity_bf binding_bf sites_bf OTHER_DRUG subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf pyreneperone_bf (0_bf ._bf 25_bf mg/kg)_bf resulted_bf reduced_bf interaction_bf 3H-spiroperidol_bf low_bf affinity_bf binding_bf sites_bf OTHER_DRUG subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf OTHER_DRUG (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be apomorphine_be subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be apomorphine_be increased_be frontal_be cortex_be subcortical_be structures_be forebrain_be ._be",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf OTHER_DRUG (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be apomorphine_be subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be apomorphine_be increased_be frontal_be cortex_be subcortical_be structures_be forebrain_be ._be",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf pyreneperone_bf (0_bf ._bf 25_bf mg/kg)_bf resulted_bf reduced_bf interaction_bf 3H-spiroperidol_bf low_bf affinity_bf binding_bf sites_bf OTHER_DRUG subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf pyreneperone_bf (0_bf ._bf 25_bf mg/kg)_bf resulted_bf reduced_bf interaction_bf 3H-spiroperidol_bf low_bf affinity_bf binding_bf sites_bf OTHER_DRUG subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf DRUG (0_be ._be 25_be mg/kg)_be OTHER_DRUG (0_af ._af 25_af mg/kg)_af resulted_af reduced_af interaction_af 3H-spiroperidol_af low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af 3H-spiroperidol_af binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf DRUG (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be OTHER_DRUG subcortical_af structures_af ,_af whereas_af 3H-spiroperidol_af binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf DRUG (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be OTHER_DRUG subcortical_af structures_af ,_af whereas_af 3H-spiroperidol_af binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf DRUG (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be OTHER_DRUG subcortical_af structures_af ,_af whereas_af 3H-spiroperidol_af binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf DRUG (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be 3H-spiroperidol_be low_be affinity_be binding_be sites_be OTHER_DRUG subcortical_af structures_af ,_af whereas_af 3H-spiroperidol_af binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf 3H-spiroperidol_bf binding_bf long-term_bf administration_bf neuroleptics]_bf It_bf established_bf experiments_bf white_bf male_bf rats_bf prolonged_bf administration_bf (twice_bf day_bf 14_bf days)_bf haloperidol_bf (0_bf ._bf 25_bf mg/kg)_bf pyreneperone_bf (0_bf ._bf 25_bf mg/kg)_bf resulted_bf reduced_bf interaction_bf 3H-spiroperidol_bf low_bf affinity_bf binding_bf sites_bf DRUG subcortical_be structures_be ,_be whereas_be 3H-spiroperidol_be binding_be high_be affinity_be binding_be sites_be DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be OTHER_DRUG (0_af ._af 25_af mg/kg)_af pyreneperone_af (0_af ._af 25_af mg/kg)_af resulted_af reduced_af interaction_af DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be OTHER_DRUG (0_af ._af 25_af mg/kg)_af resulted_af reduced_af interaction_af DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af OTHER_DRUG subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af OTHER_DRUG subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af OTHER_DRUG subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af OTHER_DRUG subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be DRUG low_af affinity_af binding_af sites_af OTHER_DRUG subcortical_af structures_af ,_af whereas_af DRUG binding_af high_af affinity_af binding_af sites_af OTHER_DRUG increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf OTHER_DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be OTHER_DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af OTHER_DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf OTHER_DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be OTHER_DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af OTHER_DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf OTHER_DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be OTHER_DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af OTHER_DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf OTHER_DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be OTHER_DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af OTHER_DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf OTHER_DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be haloperidol_be (0_be ._be 25_be mg/kg)_be pyreneperone_be (0_be ._be 25_be mg/kg)_be resulted_be reduced_be interaction_be OTHER_DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af OTHER_DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf OTHER_DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be DRUG (0_af ._af 25_af mg/kg)_af pyreneperone_af (0_af ._af 25_af mg/kg)_af resulted_af reduced_af interaction_af OTHER_DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af OTHER_DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
"[Stimulation_bf cerulein--an_bf analog_bf octapeptide_bf cholecystokinin--of_bf OTHER_DRUG binding_be long-term_be administration_be neuroleptics]_be It_be established_be experiments_be white_be male_be rats_be prolonged_be administration_be (twice_be day_be 14_be days)_be DRUG (0_af ._af 25_af mg/kg)_af pyreneperone_af (0_af ._af 25_af mg/kg)_af resulted_af reduced_af interaction_af OTHER_DRUG low_af affinity_af binding_af sites_af apomorphine_af subcortical_af structures_af ,_af whereas_af OTHER_DRUG binding_af high_af affinity_af binding_af sites_af apomorphine_af increased_af frontal_af cortex_af subcortical_af structures_af forebrain_af ._af",advise
